Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 13:11:00.415545 	Bid      	ETH/USDT   	Offers: 236.25884733 USDT/unit	Requests: 0.0005137266 ETH 	
2020/06/01 13:11:00.415545 	Bidsale  	DOGE/USDT  	Paid 0.1517155805 USDT     	Received 59.0298545019 DOGE	
2020/06/01 13:11:00.415545 	Bidsale  	ETH/USDT   	Paid 0.121372464 USDT      	Received 0.0005137266 ETH  	
2020/06/01 13:11:05.421589 	Bid      	BTC/USDT   	Offers: 9514.39999001 USDT/unit	Requests: 0.0000102054 BTC 	
2020/06/01 13:11:05.421589 	Bid      	ETH/BTC    	Offers: 0.0248335 BTC/unit 	Requests: 0.0091070768 ETH 	
2020/06/01 13:11:05.421589 	Bid      	ETH/USDT   	Offers: 236.17617781 USDT/unit	Requests: 0.0003289001 ETH 	
2020/06/01 13:11:05.421589 	Bidsale  	BTC/USDT   	Paid 0.0970979708 USDT     	Received 0.0000102054 BTC  	
2020/06/01 13:11:05.421589 	Bidsale  	ETH/BTC    	Paid 0.0002261606 BTC      	Received 0.0091070768 ETH  	
2020/06/01 13:11:05.421589 	Bidsale  	ETH/USDT   	Paid 0.0776783764 USDT     	Received 0.0003289001 ETH  	
2020/06/01 13:11:10.426758 	Bid      	BTC/USDT   	Offers: 9511.30000001 USDT/unit	Requests: 0.0000065336 BTC 	
