Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 12:02:00.614573 	Bid      	ETH/USDT   	Offers: 237.50691777 USDT/unit	Requests: 0.1785384905 ETH 	
2020/06/01 12:02:00.614573 	Asksale  	BTC/USDT   	Paid 0.0078249301 BTC      	Received 74.6814020481 USDT	
2020/06/01 12:02:00.614573 	Bidsale  	ETH/USDT   	Paid 42.3670641867 USDT    	Received 0.1785384905 ETH  	
2020/06/01 12:02:05.619734 	Ask      	BTC/USDT   	Offers: 0.0081471354 BTC   	Requests: 9545.58501943 USDT/unit	
2020/06/01 12:02:05.619734 	Bid      	ETH/BTC    	Offers: 0.02487453 BTC/unit	Requests: 0.2620233756 ETH 	
2020/06/01 12:02:05.619734 	Bid      	ETH/USDT   	Offers: 237.44972925 USDT/unit	Requests: 0.0264965884 ETH 	
2020/06/01 12:02:05.619734 	Bidsale  	ETH/BTC    	Paid 0.0065120014 BTC      	Received 0.2620233756 ETH  	
2020/06/01 12:02:05.619734 	Bidsale  	ETH/USDT   	Paid 6.2878300145 USDT     	Received 0.0264965884 ETH  	
2020/06/01 12:02:05.619734 	Asksale  	ETH/USDT   	Paid 0.0416906606 ETH      	Received 9.8940482906 USDT 	
2020/06/01 12:02:10.625705 	Bid      	BTC/USDT   	Offers: 9545.35894058 USDT/unit	Requests: 0.0051941546 BTC 	
2020/06/01 12:02:10.625705 	Bid      	ETH/BTC    	Offers: 0.02487378 BTC/unit	Requests: 0.2096250202 ETH 	
2020/06/01 12:02:10.625705 	Ask      	ETH/USDT   	Offers: 0.606161404 ETH    	Requests: 237.49901757 USDT/unit	
2020/06/01 12:02:10.625705 	Bidsale  	BTC/USDT   	Paid 49.5745279753 USDT    	Received 0.0051941546 BTC  	
2020/06/01 12:02:10.625705 	Bidsale  	ETH/BTC    	Paid 0.0052097603 BTC      	Received 0.2096250202 ETH  	
2020/06/01 12:02:15.632215 	Ask      	BTC/USDT   	Offers: 0.0052101642 BTC   	Requests: 9546.18683747 USDT/unit	
2020/06/01 12:02:15.632215 	Bid      	ETH/BTC    	Offers: 0.02487253 BTC/unit	Requests: 0.16757971 ETH   	
2020/06/01 12:02:15.632215 	Bid      	ETH/USDT   	Offers: 237.519354 USDT/unit	Requests: 0.1669929422 ETH 	
2020/06/01 12:02:15.632215 	Bidsale  	ETH/BTC    	Paid 0.0041649256 BTC      	Received 0.16757971 ETH    	
2020/06/01 12:02:15.632215 	Bidsale  	ETH/USDT   	Paid 39.6322222726 USDT    	Received 0.1669929422 ETH  	
2020/06/01 12:02:20.636240 	Ask      	BTC/USDT   	Offers: 0.0033345051 BTC   	Requests: 9547.01410846 USDT/unit	
2020/06/01 12:02:20.636240 	Bid      	ETH/BTC    	Offers: 0.02487159 BTC/unit	Requests: 0.107255067 ETH  	
